"Code","Year.Index","SHMI.before","SHMI.Index","HEE.region.code","HEE.region.name","Name","North","North.v.South","X","Responses","Survey.clinical.proportion","Engagement.Index","Engagement.Index.dichot","RecommendWork.Index","RecommendWork.Index.dichot","RecommendCare.Index","RecommendCare.Index.dichot","WorkStress.Index","FreedomSpeak.Index","Openness.Index"
"R1F",2012,NA,1.0769,"YDF27","Health Education Wessex (South)","Isle of Wight NHS Trust",0,"South",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R1F",2013,1.0769,1.099,"YDF27","Health Education Wessex (South)","Isle of Wight NHS Trust",0,"South",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R1F",2014,1.099,1.0212,"YDF27","Health Education Wessex (South)","Isle of Wight NHS Trust",0,"South",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R1F",2015,1.0212,0.9944,"YDF27","Health Education Wessex (South)","Isle of Wight NHS Trust",0,"South",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R1F",2016,0.9944,1.0466,"YDF27","Health Education Wessex (South)","Isle of Wight NHS Trust",0,"South",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R1F",2017,1.0466,1.1239,"YDF27","Health Education Wessex (South)","Isle of Wight NHS Trust",0,"South",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R1F",2018,1.1239,1.0088,"YDF27","Health Education Wessex (South)","Isle of Wight NHS Trust",0,"South",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R1F",2019,1.0088,1.053,"YDF27","Health Education Wessex (South)","Isle of Wight NHS Trust",0,"South",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R1H",2012,0.804,0.8242,"YDF28","Health Education North Central and East London (South)","Barts Health NHS Trust",0,"South",NA,320,0.66,3.83333333333333,0.666666666666667,3.43,0.53,3.48,0.54,0.4,0,0
"R1H",2013,0.8242,0.793,"YDF28","Health Education North Central and East London (South)","Barts Health NHS Trust",0,"South",NA,5055,0.7,3.84333333333333,0.643333333333333,3.1,0.43,3.43,0.54,0.44,0,0
"R1H",2014,0.793,0.8452,"YDF28","Health Education North Central and East London (South)","Barts Health NHS Trust",0,"South",NA,3431,0.68,3.81,0.636666666666667,3.18,0.45,3.44,0.54,0.44,0,0
"R1H",2015,0.8452,0.9003,"YDF28","Health Education North Central and East London (South)","Barts Health NHS Trust",0,"South",NA,3898,0.71,3.89666666666667,0.676666666666667,3.6,0.62,3.69,0.66,0.37,0,0
"R1H",2016,0.9003,0.8821,"YDF28","Health Education North Central and East London (South)","Barts Health NHS Trust",0,"South",NA,6161,0.7,3.96333333333333,0.706666666666667,3.46,0.57,3.66,0.65,0.4,0,0
"R1H",2017,0.8821,0.9105,"YDF28","Health Education North Central and East London (South)","Barts Health NHS Trust",0,"South",NA,6513,0.71,3.91333333333333,0.686666666666667,3.51,0.58,3.65,0.65,0.44,0,0
"R1H",2018,0.9105,0.8777,"YDF28","Health Education North Central and East London (South)","Barts Health NHS Trust",0,"South",NA,7221,0.73,3.94666666666667,0.7,3.63,0.63,3.81,0.7,0.43,0,0
"R1H",2019,0.8777,0.9319,"YDF28","Health Education North Central and East London (South)","Barts Health NHS Trust",0,"South",NA,7513,0.72,3.96,0.706666666666667,3.61,0.63,3.74,0.68,0.46,0,0
"RA2",2012,0.8873,0.9537,"YDF29","Health Education Kent, Surrey and Sussex (South)","Royal Surrey County Hospital NHS Foundation Trust",0,"South",NA,349,0.72,3.82,0.646666666666667,3.67,0.64,3.9,0.8,0.37,0,0
"RA2",2013,0.9537,0.911,"YDF29","Health Education Kent, Surrey and Sussex (South)","Royal Surrey County Hospital NHS Foundation Trust",0,"South",NA,330,0.75,3.92,0.693333333333333,3.77,0.7,3.88,0.75,0.35,0,0
"RA2",2014,0.911,0.7997,"YDF29","Health Education Kent, Surrey and Sussex (South)","Royal Surrey County Hospital NHS Foundation Trust",0,"South",NA,1250,0.7,3.90333333333333,0.69,3.64,0.64,3.79,0.71,0.33,0,0
"RA2",2015,0.7997,0.8637,"YDF29","Health Education Kent, Surrey and Sussex (South)","Royal Surrey County Hospital NHS Foundation Trust",0,"South",NA,1393,0.7,3.98666666666667,0.723333333333333,3.75,0.68,3.96,0.78,0.33,0,0
"RA2",2016,0.8637,0.9121,"YDF29","Health Education Kent, Surrey and Sussex (South)","Royal Surrey County Hospital NHS Foundation Trust",0,"South",NA,1232,0.69,3.94666666666667,0.716666666666667,3.59,0.62,3.91,0.76,0.35,0,0
"RA2",2017,0.9121,0.8102,"YDF29","Health Education Kent, Surrey and Sussex (South)","Royal Surrey County Hospital NHS Foundation Trust",0,"South",NA,1484,0.67,3.95333333333333,0.716666666666667,3.75,0.69,3.99,0.8,0.35,0,0
"RA2",2018,0.8102,0.7995,"YDF29","Health Education Kent, Surrey and Sussex (South)","Royal Surrey County Hospital NHS Foundation Trust",0,"South",NA,1416,0.7,3.97333333333333,0.733333333333333,3.82,0.71,4.04,0.82,0.38,0,0
